edrpou,official_address,mail_address,email,fax
25625646,99042 Севастополь  Севастополь Новікова буд. 14 кiмната -,99042 Севастополь  Севастополь Новікова буд. 14 кiмната -,balakcovetsv@mail.ru,(0692)631696
04058628,64200 Харківська Балаклійський Балаклія Куйбишева буд. 16 кiмната 16,64200 Харківська Балаклійський Балаклія Куйбишева буд. 16 кiмната 16,balgorsvet@mail.ru,0574920717
25179313,64200 Харківська обл. Балаклійський район м. Балаклія вул.Жовтнева буд. 18,64200 Харківська обл. Балаклійський район м. Балаклія вул.Жовтнева буд. 18,rada@balakleya.net,(05749) 2-09-20
04329493,24413 Вінницька Бершадський Баланівка Дяченка буд. 1,24413 Вінницька Бершадський Баланівка Дяченка буд. 1,sr.balanivka@gmail.com,0435241431
04384977,34373 Рівненська Володимирецький Балаховичі Ювілейна буд. 8,34373 Рівненська Володимирецький Балаховичі Ювілейна буд. 8,balahovychi@silrada.rv.ua,0000000000
04387852,34640 Рівненська Березнівський Балашівка С.Тулуба буд. 15,34640 Рівненська Березнівський Балашівка С.Тулуба буд. 15,balashivka-sr@ukr.net,(03653)34757
04351819,71635 Запорізька Василівський Балки Каховська буд. 26,71635 Запорізька Василівський Балки Каховська буд. 26,balki_silrada@ukr.net,(06175) 53971
04376819,56664 Миколаївська Новоодеський Баловне Леніна буд. 93,56664 Миколаївська Новоодеський Баловне Леніна буд. 93,balovne_sr@ukr.net,(05167) 2-51-42
21045768,38512 Полтавська Диканський Балясне Спортивна буд. 19Б,38512 Полтавська Диканський Балясне Спортивна буд. 19Б,balyasne_srada@ukr.net,
04339770,52010 Дніпропетровська Дніпропетровський Балівка Леніна буд. 47 кiмната ( 056 ) 712-71-75,52010 Дніпропетровська Дніпропетровський Балівка Леніна буд. 47 кiмната ( 056 ) 712-71-75,dnbalivsil@mail.dp.gov.ua,(056) 712-71-75
04418156,59020 Чернівецька Сторожинецький с.Банилів-Підгірний Головна буд. 138,59020 Чернівецька Сторожинецький с.Банилів-Підгірний Головна буд. 138,banilov53244@ukrpost.ua,53-2-66
05379180,92922 Луганська Кремінський Бараниківка квартал Гагаріна буд. 3,92922 Луганська Кремінський Бараниківка квартал Гагаріна буд. 3,Відсутня,06454-9-62-73
04344386,12701 Житомирська Баранівський Баранівка Леніна буд. 20,12701 Житомирська Баранівський Баранівка Леніна буд. 20,barmira@ukr.net,0414431021
13577008,12700 Житомирська область Баранівський район м.Баранівка вул.Леніна буд. 12,12700 Житомирська область Баранівський район м.Баранівка вул.Леніна буд. 12,rrada@okotel.net.ua,(04144) 4-23-58
04352546,70151 Запорізька Новомиколаївський Барвінівка Леніна буд. 8,70151 Запорізька Новомиколаївський Барвінівка Леніна буд. 8,Відсутня,0614496346
04353936,70640 Запорізька Пологівський с. Басань Леніна буд. 337,70640 Запорізька Пологівський с. Басань Леніна буд. 337,Відсутня,0616536602
04061702,16500 Чернігівська Бахмацький Бахмач Жовтнева буд. 42,16500 Чернігівська Бахмацький Бахмач Жовтнева буд. 42,mbakhmach@yandex.ru,0(4635)- 3-12-61
25151697,98400  Республіка Крим Бахчисарайський Бахчисарай Радянська буд. 5,98400  Республіка Крим Бахчисарайський Бахчисарай Радянська буд. 5,raysovet-bahs@rambler.ru,0 (6554) 41622
04339497,52462 Дніпропетровська Солонянський Башмачка Кірова буд. 22,52462 Дніпропетровська Солонянський Башмачка Кірова буд. 22,solbashmsel@mail.dp.gov.ua,0566966308
24789498,56101 Миколаївська Баштанський Баштанка Баштанської  республіки буд. 37,56101 Миколаївська Баштанський Баштанка Баштанської  республіки буд. 37,rrouoter@yandex.ru,(05158)  27618
04376469,56101 Миколаївська Баштанський Баштанка Баштанської республіки  буд. 38,56101 Миколаївська Баштанський Баштанка Баштанської республіки  буд. 38,bashtrada@yandex.ua,05158 2-67-47
04332199,45643 Волинська Луцький Баїв Перемоги буд. 37,45643 Волинська Луцький Баїв Перемоги буд. 37,baivska@gmail.com,(0332)709142
04326052,24530 Вінницька Ямпільський Безводне 50 річчя Жовтня буд. 20,24530 Вінницька Ямпільський Безводне 50 річчя Жовтня буд. 20,srBezvodne2011@meta.ua,04336-2-77-44
04340626,87660 Донецька Новоазовський Безіменне Радянська буд. 45,87660 Донецька Новоазовський Безіменне Радянська буд. 45,bez.sovet@mail.ru,(06296)39235
04056144,80062 Львівська Сокальський Белз Савенка буд. 1,80062 Львівська Сокальський Белз Савенка буд. 1,belz_rada@i.ua,03-257-5-25-64
13577014,13313 Житомирська обл.  місто Бердичів пл. Соборна буд. 23,13313 Житомирська обл.  місто Бердичів пл.Соборна буд. 23,Berd_rayrada@ukr.net,/04143/4-27-01
20525153,71100 Запорізька  Бердянськ площа Єдності буд. 2,71100 Запорізька  Бердянськ площа Єдності буд. 2,rada@bmr.gov.ua,0615338444
25219455,71100 Запорізька  м. Бердянськ проспект Перемоги буд. 3,71100 Запорізька  м. Бердянськ проспект Перемоги буд. 3,brd_or@zp.ukrtel.net,0615347311
04053683,90202 Закарпатська Берегівський Берегове Б.Хмельницького буд. 7,90202 Закарпатська Берегівський Берегове Б.Хмельницького буд. 7,beregszasz_rada@bereg.net.ua,03141-2-30-38
22094295,90202 Закарпатська  Берегово Мукачівська буд. 6,90202 Закарпатська  Берегово Мукачівська буд. 6,evir@bereg.net.ua,(03141)24527
04526087,45713 Волинська Горохівський Бережанка Центральна буд. 9,45713 Волинська Горохівський Бережанка Центральна буд. 9,berejanka.rada@gmail.com,0337994142
04058491,47501 Тернопільська Бережанський Бережани пл. Ринок буд. 1,47501 Тернопільська Бережанський Бережани пл. Ринок буд. 1,mrada@ber.te.ua,(03548) 2-14-37
04365141,27605  Кіровоградська Кіровоградський Бережинка Боженко буд. 107,27605  Кіровоградська Кіровоградський Бережинка Боженко буд. 107,berazhun@ua.fm,(0522)316338
04385008,34164 Рівненська Дубровицький Бережниця Центральна буд. 10,34164 Рівненська Дубровицький Бережниця Центральна буд. 10,berrada@i.ua,(03658)30149
20883409,57400 Миколаївська Березанський Березанка Леніна буд. 33 кiмната 1,57400 Миколаївська Березанський Березанка Леніна буд. 33 кiмната 1,rairada_brz@ukrpost.ua,(05153) 21354
04377670,67622 Одеська Біляївський Березань 70-річчя Великого Жовтня буд. 1,67622 Одеська Біляївський Березань 70-річчя Великого Жовтня буд. 1,selskaradaberesan@ukr.net,(04852)39442
20814360,81616 Львівська Миколаївський Березина Грушевського буд. 11,81616 Львівська Миколаївський Березина Грушевського буд. 11,berezynrada@ukr.net,0324153052
04332650,44252 Волинська Любешівський Березичі Радянська буд. 22,44252 Волинська Любешівський Березичі Радянська буд. 22,berezichi@ukr.net,(03362)25731
20888217,56203 Миколаївська Березнегуватський Березнегувате площа Леніна буд. 1,56203 Миколаївська Березнегуватський Березнегувате площа Леніна буд. 1,rayrada@brv.mk.ua,0516892268
22091405,89335 Закарпатська Свалявський Березники без вулиці буд. 213,89335 Закарпатська Свалявський Березники без вулиці буд. 213,vlada.berezniki@yandex.ua,(03133) 4-73-67
04387823,34600 Рівненська Березнівський Березне Київська буд. 5,34600 Рівненська Березнівський Березне Київська буд. 5,mrada@ukr.net,(03653)5-49-93
25318453,34600 Рівненська Березнівський Березне Київська буд. 6,34600 Рівненська Березнівський Березне Київська буд. 6,berezne_rada@ukr.net,03653-53390
04334784,44763 Волинська Володимир-Волинський Березовичі Першотравнева буд. 4,44763 Волинська Володимир-Волинський Березовичі Першотравнева буд. 4,berezovychi@gmail.com,0334293131
04334703,45144 Волинська Рожищенський Березолуки Перемоги буд. 25,45144 Волинська Рожищенський Березолуки Перемоги буд. 25,berezoluku.rozhadm@gmail.com,0336894531
24831817,37535 Полтавська Лубенський Березоточа Леніна буд. 160,37535 Полтавська Лубенський Березоточа Леніна буд. 160,berezotocha@bk.ru,
04364845,26222 Кіровоградська Маловисківський Березівка Шевченка буд. 1,26222 Кіровоградська Маловисківський Березівка Шевченка буд. 1,berezivka2012@ukr.net,0525833609
04339155,53624 Дніпропетровська Покровський Березове Центральна буд. 4,53624 Дніпропетровська Покровський Березове Центральна буд. 4,berezivskasr@ukr.net,(056) 38 53-7-67
04333655,45215 Волинська Ківерцівський Берестяне Перемоги буд. 5,45215 Волинська Ківерцівський Берестяне Перемоги буд. 5,berestyane.sr@gmail.com,0336598642
04341258,84541 Донецька Артемівський Берестове Центральна буд. 2,84541 Донецька Артемівський Берестове Центральна буд. 2,berestivska.sr@yandex.ru,
04385014,34109 Рівненська Дубровицький Берестя Перемоги буд. 1а,34109 Рівненська Дубровицький Берестя Перемоги буд. 1а,Berestja@ukr.net,(03658) 3-51-43
21085696,34361 Рівненська Володимирецький Берестівка Центральна буд. 68,34361 Рівненська Володимирецький Берестівка Центральна буд. 68,berestivka@silrada.rv.ua,0363436137
04334710,45135 Волинська Рожищенський Береськ Радянська буд. 40,45135 Волинська Рожищенський Береськ Радянська буд. 40,beresk.rozhadm@gmail.com,0336863335
04051033,24400 Вінницька Бершадський Бершадь Радянська буд. 23,24400 Вінницька Бершадський Бершадь Радянська буд. 23,bersh-miskrada@ukr.net,0435223138
21731280,24400 Вінницька Бершадський Бершадь Радянська буд. 23,24400 Вінницька Бершадський Бершадь Радянська буд. 23,berrayrada@gmail.com,(04352)2-33-19
04331840,24834 Вінницька Чечельницький Берізки-Чечельницькі Леніна буд. 1 кiмната 1,24834 Вінницька Чечельницький Берізки-Чечельницькі Леніна буд. 1 кiмната 1,berizki_sr@i.ua,(04351)24731
04341778,84170 Донецька Слов’янський смт Билбасівка Леніна буд. 218,84170 Донецька Слов’янський смт Билбасівка Леніна буд. 218,bulbasov_sovet@mail.ru,
04329501,24414 Вінницька Бершадський Бирлівка Леніна буд. 278,24414 Вінницька Бершадський Бирлівка Леніна буд. 278,sr.byrlivka@gmail.com,(04352)21211
34238334,19821 Черкаська Драбівський Бирлівка Леніна буд. 18,19821 Черкаська Драбівський Бирлівка Леніна буд. 18,byrlivka@ukr.net,0473895231
04387898,34644 Рівненська Березнівський Бистричі Надслучанська буд. 226,34644 Рівненська Березнівський Бистричі Надслучанська буд. 226,bystrychi-sr@ukr.net,(03653)61326
04354551,"78436 Івано-Франківська Надвірнянський Бистриця Центр буд. 104 ""в""","78436 Івано-Франківська Надвірнянський Бистриця Центр буд. 104 ""в""",bystrycarada111@gmail.com,(03475)67 4 47
04332667,44242 Волинська Любешівський Бихів Шкільна буд. 1,44242 Волинська Любешівський Бихів Шкільна буд. 1,byhiv@ukr.net,(03362)24631
24906372,71330 Запорізька Кам'янсько-Дніпровський Благовіщенка пров. Центральний буд. 10,71330 Запорізька Кам'янсько-Дніпровський Благовіщенка пров. Центральний буд. 10,vsrblag@yandex.ua,(06138) 96-5-81
04590576,45490 Волинська Нововолинськ Благодатне В. Стуса буд. 16,45490 Волинська Нововолинськ Благодатне В. Стуса буд. 16,z.rada2016@gmail.com,0334495588
04341169,87330 Донецька Амвросіївський Благодатне Леніна буд. 26,87330 Донецька Амвросіївський Благодатне Леніна буд. 26,blagodatnoe001@mail.ru,0625994343
04332911,44842 Волинська Турійський Бобли Центральна  буд. 48 кiмната 1,44842 Волинська Турійський Бобли Центральна  буд. 48 кiмната 1,radabobly@gmail.com,03363-296642
20089210,22813 Вінницька Немирівський Боблів Леніна буд. 32,22813 Вінницька Немирівський Боблів Леніна буд. 32,bobrad@ukr.net,0433136242
04418044,59013 Чернівецька  Сторожинецький  село Бобівці Головна  буд. 34,59013 Чернівецька  Сторожинецький  село Бобівці Головна  буд. 34,bobivci36218@ukrpost.ua,03735 36248
04055239,27200 Кіровоградська Бобринецький Бобринець Орджонікідзе буд. 80 кiмната 207,27200 Кіровоградська Бобринецький Бобринець Орджонікідзе буд. 80 кiмната 207,bobrineckamiskarada@rambler.ru,0525734188
24713868,27200 Кіровоградська Бобринецький Бобринець Орджонікідзе буд. 80,27200 Кіровоградська Бобринецький Бобринець Орджонікідзе буд. 80,bobrrada@mail.ru,05(257)3-40-26
23566916,08142 Київська Києво-Святошинський Бобриця Шкільна буд. 17,08142 Київська Києво-Святошинський Бобриця Шкільна буд. 17,info@bobrytsya-rada.gov.ua,(04598) 5-83-59
25572536,17400 Чернігівська Бобровицький Бобровиця Незалежності буд. 46,17400 Чернігівська Бобровицький Бобровиця Незалежності буд. 46,rrada@cg.ukrtel.net,(04632) 2-32-74
04364058,27335 Кіровоградська Олександрівський село Бовтишка Леніна  буд. 1,27335 Кіровоградська Олександрівський село Бовтишка Леніна  буд. 1,Відсутня,(05242)61381
23552662,39341 Полтавська Новосанжарський Богданівка Трудова буд. 2,39341 Полтавська Новосанжарський Богданівка Трудова буд. 2,bogdanivska@meta.ua,0534497252
04364203,28332 Кіровоградська Петрівський Богданівка Леніна буд. 1,28332 Кіровоградська Петрівський Богданівка Леніна буд. 1,Відсутня,(05237) 9-47-40
04365862,28545 Кіровоградська Долинський Марфівка Нова буд. 5,28545 Кіровоградська Долинський Марфівка Нова буд. 5,Відсутня,(05234)4-67-38
04365230,27431 Кіровоградська Знам'янський Богданівка Миру буд. 10,27431 Кіровоградська Знам'янський Богданівка Миру буд. 10,bgrada@rambler.ru,(05233)73119
24385720,37111 Полтавська Чорнухинський Богодарівка Молодіжна буд. 3,37111 Полтавська Чорнухинський Богодарівка Молодіжна буд. 3,ch57635@ukrpost.ua,0534057642
23912092,62103 Харківська Богодухівський Богодухів площа Червона буд. 2 кiмната 8,62103 Харківська Богодухівський Богодухів площа Червона буд. 2 кiмната 8,bog_rr@mail.ru,05758-3-40-19
04332325,45634 Волинська Луцький Боголюби 40 років Перемоги буд. 57,45634 Волинська Луцький Боголюби 40 років Перемоги буд. 57,bogolybu@gmail.com,(0332)797517
04057008,68072 Одеська  Болград Шпитальна буд. 45,68072 Одеська  Болград Шпитальна буд. 45,bolgradgorsovet@mail.ru,0484641259
23213678,68702 Одеська Болградський Болград Леніна буд. 149,68702 Одеська Болградський Болград Леніна буд. 149,bolgrad.rada@mail.ru,0484640508
04331857,24810 Вінницька Чечельницький Бондурівка Леніна буд. 1 кiмната 1,24810 Вінницька Чечельницький Бондурівка Леніна буд. 1 кiмната 1,Bond_sr@i.ua,(04351)2-56-45
04332207,45605  Волинська Луцький Боратин Центральна буд. 15 кiмната 15,45605  Волинська Луцький Боратин Центральна буд. 15 кiмната 15,boratyn.sr@gmail.com,0332294256
26181298,82300 Львівська  Борислав Шевченка буд. 42,82300 Львівська  Борислав Шевченка буд. 42,boryslavrada@ukr.net,0324852952
04054903,08300 Київська Бориспільський Бориспіль Київський Шлях буд. 72,08300 Київська Бориспільський Бориспіль Київський Шлях буд. 72,inf@borispol-rada.gov.ua,(04595) 60235
04054837,03800 Київська Бориспільський Бориспіль Київський шлях буд. 74 кiмната 9,03800 Київська Бориспільський Бориспіль Київський шлях буд. 74 кiмната 9,borispil_rayrada@ukr.net,0459561007
04406621,30326 Хмельницька Ізяславський Борисів Леніна буд. 11 кiмната  11,30326 Хмельницька Ізяславський Борисів Леніна буд. 11 кiмната 11,borisiv_sr@ukr.net,0385250265
04337819,92943 Луганська Кремінський Боровеньки Леніна буд. 31а,92943 Луганська Кремінський Боровеньки Леніна буд. 31а,rajrada@krem.lg.ua,06454-2-12-14
04334241,44666 Волинська Маневицький Боровичі Незалежності буд. 19,44666 Волинська Маневицький Боровичі Незалежності буд. 19,borovychi.sr@gmail.com,0337694442
05520684,51641 Дніпропетровська Верхньодніпровський село Боровківка Квака А.Ф. буд. 4,51641 Дніпропетровська Верхньодніпровський село Боровківка Квака А.Ф. буд. 4,vdnborovksil@mail.dp.gov.ua,0565898549
04333419,44562 Волинська Камінь-Каширський Боровне Центральна буд. 9/а,44562 Волинська Камінь-Каширський Боровне Центральна буд. 9/а,borovne@ukr.net,0335792942
04054808,07800 Київська Бородянський Бородянка Леніна буд. 331,07800 Київська Бородянський Бородянка Леніна буд. 331,borrayrada@mail.ru,0457752766
04363662,07800 Київська Бородянський Бородянка Леніна буд. 230,07800 Київська Бородянський Бородянка Леніна буд. 230,borrada@ukrpost.ua,04577-5-12-41
04333661,45245 Волинська Ківерцівський село Борохів Визволителів буд. 25Б,45245 Волинська Ківерцівський село Борохів Визволителів буд. 25Б,borohiv.sr@gmail.com,0336597116
04374281,80730 Львівська Золочівський Бортків ГОЛОВНА буд. 69,80730 Львівська Золочівський Бортків ГОЛОВНА буд. 69,Bortkiv_s_rada@i.ua,(03265) 56-118
04058485,48702 Тернопільська Борщівський Борщів Грушевського буд. 2,48702 Тернопільська Борщівський Борщів Грушевського буд. 2,04058485@mail.gov.ua,0354121895
04387378,34263 Рівненська Рокитнівський Борове Центральна буд. 15,34263 Рівненська Рокитнівський Борове Центральна буд. 15,borowe_silrada@i.ua,
04334949,45746 Волинська Горохівський Брани Задворська буд. 10,45746 Волинська Горохівський Брани Задворська буд. 10,branu.rada@gmail.com,0337993742
24788843,55401 Миколаївська Братський Братське Леніна буд. 131,55401 Миколаївська Братський Братське Леніна буд. 131,brat_rada@ukr.net,0513191816
04325928,22870 Вінницька Немирівський Брацлав Енгельса буд. 30,22870 Вінницька Немирівський Брацлав Енгельса буд. 30,brarada@ukr.net,(04331)51-4-81
04325609,23130 Вінницька Жмеринський Браїлів Гагаріна буд. 4,23130 Вінницька Жмеринський Браїлів Гагаріна буд. 4,selrada.br@gmail.com,0433233242
04331863,24823 Вінницька Чечельницький Бритавка Шевченка буд. 1 кiмната 1,24823 Вінницька Чечельницький Бритавка Шевченка буд. 1 кiмната 1,britavka_sr@i.ua,(04351)25742
26424683,20521 Черкаська Катеринопільський Бродецьке Ватутіна буд. 18а,20521 Черкаська Катеринопільський Бродецьке Ватутіна буд. 18а,brodetska-rada@ukr.net,(04742) 97-2-42
04373821,81612 Львівська Миколаївський Бродки Зарічна буд. 2,81612 Львівська Миколаївський Бродки Зарічна буд. 2,brodky@ukr.net,0324151415
04333425,44581 Волинська Камінь-Каширський Кримне Шевченка  буд. 1,44581 Волинська Камінь-Каширський Кримне Шевченка  буд. 1,bronitsa@ukr.net,0335791131
04387881,34611 Рівненська Березнівський Бронне Шевченка буд. 1-а,34611 Рівненська Березнівський Бронне Шевченка буд. 1-а,bronne-sr@ukr.net,(03653)35638
13577020,12601 Житомирська Брусилівський Брусилів Короленка буд. 2,12601 Житомирська Брусилівський Брусилів Короленка буд. 2,brus_rada@meta.ua,0416231886
04348504,12601 Житомирська Брусилівський Брусилів 1 Травня буд. 50,12601 Житомирська Брусилівський Брусилів 1 Травня буд. 50,brusilivsr@ukr.net,0416230322
04330639,23824 Вінницька Теплицький Брідок Леніна буд. 49,23824 Вінницька Теплицький Брідок Леніна буд. 49,bridok_rada @ukr.net,(04353) 35143
04332058,45541 Волинська Локачинський Бубнів Шкільна буд. 6,45541 Волинська Локачинський Бубнів Шкільна буд. 6,Bubniv2@gmail.com,0337493131
04333069,44754 Волинська Володимир-Волинський Бубнів Центральна буд. 8,44754 Волинська Володимир-Волинський Бубнів Центральна буд. 8,bubnyv.v-v@ukr.net,0334297342
20089203,22852 Вінницька Немирівський Бугаків К. Мовчана буд. 32,22852 Вінницька Немирівський Бугаків К. Мовчана буд. 32,buhakiv.meria@mail.ru,0433134232
04387817,35507 Рівненська Радивилівський Бугаївка Шевченка буд. 36,35507 Рівненська Радивилівський Бугаївка Шевченка  буд. 36,bygaivka-sr@mail.rv.ua,03633 26-3-83
04418050,59030 Чернівецька Сторожинецький Буденець Центральна буд. 21,59030 Чернівецька Сторожинецький Буденець Центральна буд. 21,budec51243@ukrpost.ua,(03735) 51-2-10
04334258,44641 Волинська Маневицький Будки Центральна буд. 6,44641 Волинська Маневицький Будки Центральна буд. 6,budky.sr@gmail.com,0337695542
04335192,45310 Волинська Іваничівський Бужанка Перемоги буд. 15,45310 Волинська Іваничівський Бужанка Перемоги буд. 15,bugh-rada@ukr.net,
04334956,45770 Волинська Горохівський Бужани Центральна буд. 5,45770 Волинська Горохівський Бужани Центральна буд. 5,bujanu.rada@gmail.com,0337993531
04333431,44523 Волинська Камінь-Каширський Бузаки 8-го Березня  буд. 25,44523 Волинська Камінь-Каширський Бузаки 8-го Березня  буд. 25,buzaki@ukr.net,0335799742
04361947,09022 Київська Сквирський Буки Першотравнева буд. 13,09022 Київська Сквирський Буки Першотравнева буд. 13,Відсутня,04568-22-6-54
04336122,92930 Луганська Кремінський Булгаківка Совєтська буд. -,92930 Луганська Кремінський Булгаківка Совєтська буд. -,rajrada@krem.lg.ua,06454-2-12-14
